date,region,patients,geoOrder
16/06/2020,London,453,5
16/06/2020,Midlands,856,3
16/06/2020,North East and Yorkshire,569,2
16/06/2020,North West,849,1
16/06/2020,South East,409,6
16/06/2020,South West,111,7
17/06/2020,East of England,347,4
17/06/2020,London,421,5
17/06/2020,Midlands,821,3
17/06/2020,North East and Yorkshire,524,2
17/06/2020,North West,849,1
17/06/2020,South East,401,6
17/06/2020,South West,100,7
18/06/2020,East of England,325,4
18/06/2020,London,417,5
18/06/2020,Midlands,805,3
18/06/2020,North East and Yorkshire,518,2
18/06/2020,North West,819,1
18/06/2020,South East,368,6
18/06/2020,South West,94,7
19/06/2020,East of England,357,4
19/06/2020,London,389,5
19/06/2020,Midlands,741,3
19/06/2020,North East and Yorkshire,496,2
19/06/2020,North West,807,1
19/06/2020,South East,370,6
19/06/2020,South West,88,7
20/06/2020,East of England,320,4
20/06/2020,London,382,5
20/06/2020,Midlands,734,3
20/06/2020,North East and Yorkshire,472,2
20/06/2020,North West,799,1
20/06/2020,South East,315,6
20/06/2020,South West,84,7
21/06/2020,East of England,317,4
21/06/2020,London,358,5
21/06/2020,Midlands,720,3
21/06/2020,North East and Yorkshire,473,2
21/06/2020,North West,766,1
21/06/2020,South East,344,6
21/06/2020,South West,81,7
22/06/2020,East of England,338,4
22/06/2020,London,373,5
22/06/2020,Midlands,719,3
22/06/2020,North East and Yorkshire,492,2
22/06/2020,North West,784,1
22/06/2020,South East,327,6
22/06/2020,South West,75,7
23/06/2020,East of England,309,4
23/06/2020,London,375,5
23/06/2020,Midlands,682,3
23/06/2020,North East and Yorkshire,475,2
23/06/2020,North West,765,1
23/06/2020,South East,324,6
23/06/2020,South West,77,7
24/06/2020,East of England,319,4
24/06/2020,London,386,5
24/06/2020,Midlands,658,3
24/06/2020,North East and Yorkshire,465,2
24/06/2020,North West,747,1
24/06/2020,South East,294,6
24/06/2020,South West,67,7
25/06/2020,East of England,301,4
25/06/2020,London,380,5
25/06/2020,Midlands,629,3
25/06/2020,North East and Yorkshire,436,2
25/06/2020,North West,698,1
25/06/2020,South East,299,6
25/06/2020,South West,70,7
26/06/2020,East of England,286,4
26/06/2020,London,370,5
26/06/2020,Midlands,568,3
26/06/2020,North East and Yorkshire,398,2
26/06/2020,North West,681,1
26/06/2020,South East,242,6
26/06/2020,South West,68,7
27/06/2020,East of England,263,4
27/06/2020,London,354,5
27/06/2020,Midlands,585,3
27/06/2020,North East and Yorkshire,413,2
27/06/2020,North West,639,1
27/06/2020,South East,260,6
27/06/2020,South West,58,7
28/06/2020,East of England,262,4
28/06/2020,London,341,5
28/06/2020,Midlands,592,3
28/06/2020,North East and Yorkshire,429,2
28/06/2020,North West,646,1
28/06/2020,South East,250,6
28/06/2020,South West,62,7
29/06/2020,East of England,269,4
29/06/2020,London,344,5
29/06/2020,Midlands,568,3
29/06/2020,North East and Yorkshire,646,2
29/06/2020,North West,628,1
29/06/2020,South East,259,6
29/06/2020,South West,66,7
30/06/2020,East of England,246,4
30/06/2020,London,337,5
30/06/2020,Midlands,559,3
30/06/2020,North East and Yorkshire,392,2
30/06/2020,North West,606,1
30/06/2020,South East,236,6
30/06/2020,South West,65,7
01/07/2020,East of England,230,4
01/07/2020,London,285,5
01/07/2020,Midlands,533,3
01/07/2020,North East and Yorkshire,364,2
01/07/2020,North West,593,1
01/07/2020,South East,228,6
01/07/2020,South West,56,7
02/07/2020,East of England,211,4
02/07/2020,London,274,5
02/07/2020,Midlands,504,3
02/07/2020,North East and Yorkshire,365,2
02/07/2020,North West,549,1
02/07/2020,South East,236,6
02/07/2020,South West,50,7
03/07/2020,East of England,223,4
03/07/2020,London,272,5
03/07/2020,Midlands,446,3
03/07/2020,North East and Yorkshire,352,2
03/07/2020,North West,508,1
03/07/2020,South East,237,6
03/07/2020,South West,48,7
04/07/2020,East of England,201,4
04/07/2020,London,254,5
04/07/2020,Midlands,446,3
04/07/2020,North East and Yorkshire,348,2
04/07/2020,North West,436,1
04/07/2020,South East,217,6
04/07/2020,South West,52,7
05/07/2020,East of England,206,4
05/07/2020,London,250,5
05/07/2020,Midlands,434,3
05/07/2020,North East and Yorkshire,333,2
05/07/2020,North West,430,1
05/07/2020,South East,213,6
05/07/2020,South West,57,7
06/07/2020,East of England,210,4
06/07/2020,London,254,5
06/07/2020,Midlands,437,3
06/07/2020,North East and Yorkshire,318,2
06/07/2020,North West,426,1
06/07/2020,South East,212,6
06/07/2020,South West,54,7
07/07/2020,East of England,206,4
07/07/2020,London,246,5
07/07/2020,Midlands,406,3
07/07/2020,North East and Yorkshire,316,2
07/07/2020,North West,388,1
07/07/2020,South East,213,6
07/07/2020,South West,46,7
08/07/2020,East of England,205,4
08/07/2020,London,229,5
08/07/2020,Midlands,374,3
08/07/2020,North East and Yorkshire,301,2
08/07/2020,North West,355,1
08/07/2020,South East,203,6
08/07/2020,South West,37,7
09/07/2020,East of England,193,4
09/07/2020,London,223,5
09/07/2020,Midlands,353,3
09/07/2020,North East and Yorkshire,302,2
09/07/2020,North West,325,1
09/07/2020,South East,212,6
09/07/2020,South West,41,7
10/07/2020,East of England,180,4
10/07/2020,London,216,5
10/07/2020,Midlands,344,3
10/07/2020,North East and Yorkshire,297,2
10/07/2020,North West,333,1
10/07/2020,South East,205,6
10/07/2020,South West,33,7
11/07/2020,East of England,154,4
11/07/2020,London,168,5
11/07/2020,Midlands,329,3
11/07/2020,North East and Yorkshire,298,2
11/07/2020,North West,305,1
11/07/2020,South East,197,6
11/07/2020,South West,29,7
12/07/2020,East of England,156,4
12/07/2020,London,206,5
12/07/2020,Midlands,309,3
12/07/2020,North East and Yorkshire,295,2
12/07/2020,North West,290,1
12/07/2020,South East,192,6
12/07/2020,South West,29,7
13/07/2020,East of England,160,4
13/07/2020,London,209,5
13/07/2020,Midlands,308,3
13/07/2020,North East and Yorkshire,274,2
13/07/2020,North West,300,1
13/07/2020,South East,193,6
13/07/2020,South West,31,7
14/07/2020,East of England,146,4
14/07/2020,London,194,5
14/07/2020,Midlands,295,3
14/07/2020,North East and Yorkshire,264,2
14/07/2020,North West,279,1
14/07/2020,South East,187,6
14/07/2020,South West,27,7
15/07/2020,East of England,153,4
15/07/2020,London,179,5
15/07/2020,Midlands,294,3
15/07/2020,North East and Yorkshire,250,2
15/07/2020,North West,273,1
15/07/2020,South East,189,6
15/07/2020,South West,26,7
16/07/2020,East of England,111,4
16/07/2020,London,155,5
16/07/2020,Midlands,265,3
16/07/2020,North East and Yorkshire,248,2
16/07/2020,North West,249,1
16/07/2020,South East,173,6
16/07/2020,South West,25,7
17/07/2020,East of England,129,4
17/07/2020,London,155,5
17/07/2020,Midlands,261,3
17/07/2020,North East and Yorkshire,236,2
17/07/2020,North West,253,1
17/07/2020,South East,175,6
17/07/2020,South West,24,7
18/07/2020,East of England,135,4
18/07/2020,London,147,5
18/07/2020,Midlands,247,3
18/07/2020,North East and Yorkshire,249,2
18/07/2020,North West,234,1
18/07/2020,South East,167,6
18/07/2020,South West,32,7
19/07/2020,East of England,133,4
19/07/2020,London,148,5
