"length","maxPageLimit","data__areaType","data__areaName","data__areaCode","data__date","data__femaleCases__age","data__femaleCases__value","data__femaleCases__rate","data__maleCases__age","data__maleCases__value","data__maleCases__rate","pagination__current","pagination__next","pagination__previous","pagination__first","pagination__last"
"","","region","London","E12000007","2020-11-22","50_to_54","5279","1787.3","70_to_74","2179","1713.5","","","","",""
"","","","","","","75_to_79","1598","1498.7","55_to_59","4540","1620.8","","","","",""
"","","","","","","40_to_44","5911","1567.5","15_to_19","4343","1576.7","","","","",""
"","","","","","","90+","1675","4436.1","90+","937","4756.8","","","","",""
"","","","","","","20_to_24","7369","3246.2","65_to_69","2498","1686.1","","","","",""
"","","","","","","30_to_34","8207","2127.3","85_to_89","1471","3885.7","","","","",""
"","","","","","","5_to_9","1382","546.8","30_to_34","7533","1960.6","","","","",""
"","","","","","","85_to_89","1685","3030.4","0_to_4","1514","487.8","","","","",""
"","","","","","","80_to_84","1685","1975.7","25_to_29","7722","2724","","","","",""
"","","","","","","0_to_4","1391","470.6","20_to_24","5974","2483","","","","",""
"","","","","","","55_to_59","4484","1562.9","10_to_14","2574","833.5","","","","",""
"","","","","","","45_to_49","5626","1744.1","5_to_9","1513","623.3","","","","",""
"","","","","","","70_to_74","1724","1177.8","40_to_44","5469","1352.3","","","","",""
"","","","","","","60_to_64","3080","1539.5","50_to_54","4939","1639.5","","","","",""
"","","","","","","25_to_29","9381","3327.2","80_to_84","1859","2836.8","","","","",""
"","","","","","","35_to_39","6645","1627.4","45_to_49","5161","1524.9","","","","",""
"","","","","","","10_to_14","2382","809.7","35_to_39","6205","1443.8","","","","",""
"","","","","","","65_to_69","2066","1253.9","75_to_79","1868","2154.9","","","","",""
"","","","","","","15_to_19","4922","1877.5","60_to_64","3690","1931.8","","","","",""
"","","region","London","E12000007","2020-11-21","80_to_84","1680","1969.9","15_to_19","4293","1558.5","","","","",""
"","","","","","","15_to_19","4858","1853.1","0_to_4","1487","479.1","","","","",""
"","","","","","","35_to_39","6582","1611.9","25_to_29","7675","2707.5","","","","",""
"","","","","","","75_to_79","1588","1489.4","40_to_44","5396","1334.3","","","","",""
"","","","","","","60_to_64","3039","1519","90+","936","4751.8","","","","",""
"","","","","","","5_to_9","1350","534.1","80_to_84","1848","2820","","","","",""
"","","","","","","90+","1667","4415","75_to_79","1865","2151.4","","","","",""
"","","","","","","10_to_14","2343","796.5","10_to_14","2520","816","","","","",""
"","","","","","","55_to_59","4447","1550","45_to_49","5107","1508.9","","","","",""
"","","","","","","65_to_69","2051","1244.8","50_to_54","4888","1622.5","","","","",""
"","","","","","","20_to_24","7296","3214.1","70_to_74","2164","1701.7","","","","",""
"","","","","","","70_to_74","1711","1168.9","5_to_9","1484","611.4","","","","",""
"","","","","","","50_to_54","5225","1769","60_to_64","3653","1912.4","","","","",""
"","","","","","","45_to_49","5565","1725.2","35_to_39","6142","1429.1","","","","",""
"","","","","","","25_to_29","9292","3295.6","30_to_34","7471","1944.4","","","","",""
"","","","","","","40_to_44","5832","1546.5","65_to_69","2481","1674.6","","","","",""
"","","","","","","30_to_34","8134","2108.4","55_to_59","4504","1607.9","","","","",""
"","","","","","","85_to_89","1678","3017.8","85_to_89","1466","3872.5","","","","",""
"","","","","","","0_to_4","1369","463.1","20_to_24","5927","2463.4","","","","",""
"","","region","London","E12000007","2020-11-20","15_to_19","4798","1830.2","60_to_64","3627","1898.8","","","","",""
"","","","","","","10_to_14","2299","781.5","5_to_9","1460","601.5","","","","",""
"","","","","","","40_to_44","5757","1526.6","50_to_54","4834","1604.6","","","","",""
